Descrizione Breve,Anno di Scoperta,Descrizione Lunga,Nome Inventore,Paese
Pitagora studio' i movimenti dei corpi celesti e la matematica,-550,Pitagora (studioso greco) studio' i movimenti dei corpi celesti e la matematica,-,-
Teorema di Pitagora,-530,Teorema di Pitagora,Pitagora,Grecia
Introduzione della democrazia ad Atene,-508,Introduzione della democrazia ad Atene,-,-
Panini standardizzo' la grammatica e la morfologia sanscrita nel testo Ashtadhyayi,-500,Panini standardizzo' la grammatica e la morfologia sanscrita nel testo Ashtadhyayi,-,-
Pingala apprese l'uso dello zero e del sistema numerico binario,-500,Pingala apprese l'uso dello zero e del sistema numerico binario,-,-
Guerre greco-persiane,-499,Guerre greco-persiane,-,-
Battaglia di Maratona,-490,Battaglia di Maratona,-,-
Battaglia di Maratona,-490,Battaglia cruciale nella prima guerra persiana,Milziade,Grecia
Battaglia di Cheronea,-338,"Nella battaglia di Cheronea, il re Filippo II sconfigge le forze combinate delle citta'-stato greche Atene e Tebe",-,-
"Filippo II assunse Aristotele come tutore di suo figlio, Alessandro",-337,"Filippo II creo' una forte e unificata nazione in Macedonia e assunse Aristotele come tutore di suo figlio, Alessandro",-,-
Filippo II fu assassinato e Alessandro divenne re,-336,Filippo II fu assassinato e Alessandro divenne re,-,-
Battaglia di Gaugamela,-331,"Nella battaglia di Gaugamela, Alessandro Magno sconfigge Dario III di Persia",-,-
Battaglia del fiume Idaspe,-326,"Nella battaglia del fiume Idaspe, Alessandro Magno sconfigge il re indiano Porus",-,-
Morte di Alessandro Magno ,-323,Morte di Alessandro a Babilonia,-,-
Grande Piramide di Cholula costruita,-300,Grande Piramide di Cholula costruita,-,-
La Dinastia Qin inizio' la costruzione della Grande Muraglia Cinese,-221,La Dinastia Qin inizio' la costruzione della Grande Muraglia Cinese,-,-
Qin Shi Huang unifico' la Cina e diede inizio al governo imperiale ,-221,Qin Shi Huang unifico' la Cina e diede inizio al governo imperiale (in Cina),-,-
Inizio inastia Han in Cina,-206,"Dopo la morte di Qin Shi Huang, fu stabilita la dinastia Han in Cina",-,-
Invenzione della carta in Cina,-200,Invenzione della carta in Cina,-,-
Fondazione Universita' Imperiale della Cina,-124,Fu fondata l'Universita' Imperiale della Cina,-,-
Prima dominazione cinese del Vietnam come Regno di Nanyue,-111,Prima dominazione cinese del Vietnam come Regno di Nanyue,-,-
Battaglia di Azio,-31,"Ottaviano diventa Augusto, primo imperatore",Augusto,Impero Romano
Nascita di Gesù Cristo,-4,Nascita di Gesù Cristo (data comunemente accettata),-,-
Gesù Cristo crocifisso,29,Gesù Cristo crocifisso,-,-
Gli eserciti di Tito distrussero Gerusalemme,70,Gli eserciti di Tito distrussero Gerusalemme,-,-
Origine dell'Era Saka in India,78,Origine dell'Era Saka in India,-,-
Eruzione del Vesuvio che distrusse Pompei,79,Eruzione del Vesuvio che distrusse Pompei e altre citta' (in Italia),-,-
Sismografo,132,Sismografo,Zhang Heng,Cina
Inizio dei Tre Regni in Cina,220,"Dopo la caduta della dinastia Han, inizio' il periodo dei Tre Regni in Cina",-,-
Editto di Milano,313,Editto che proclamo' tolleranza religiosa nell'Impero Romano,Costantino il Grande,Impero Romano
Concilio di Nicea,325,Primo concilio che defini' uniformita' nella cristianita',Costantino il Grande,Impero Romano
Le tribù germaniche sconfissero l'esercito romano nella battaglia di Adrianopoli,378,Le tribù germaniche sconfissero l'esercito romano nella battaglia di Adrianopoli,-,-
Caduta dell'Impero Romano,476,Fine dell'Impero Romano d'Occidente e inizio Medioevo,Romolo Augustolo,Impero Romano
Nascita di Maometto ,570,Nascita del profeta Maometto (fondatore della religione musulmana),-,-
Dinastia Sui in Cina,581,Dinastia Sui in Cina,-,-
Maometto inizio' a predicare pubblicamente,613,"Maometto inizio' a predicare pubblicamente nella sua citta' natale, Mecca",-,-
Migrazione di Maometto da Mecca a Medina,622,Migrazione di Maometto da Mecca a Medina,-,-
Maometto designo' il venerdi' come giorno speciale della settimana,623,Maometto abbandono' il sabato come Sabbath e designo' il venerdi' come giorno speciale della settimana,-,-
Morte di Maometto,632,Morte di Maometto,-,-
"Il Corano, il libro sacro, fu pubblicato per la prima volta",660,"Il Corano, il libro sacro, fu pubblicato per la prima volta",-,-
Fondazione di Baghdad,762,Baghdad diventa capitale islamica,Califfo al-Mansur,Califfato Abbaside
Coronazione di Carlo Magno,800,Fondazione Sacro Romano Impero,Carlo Magno,Sacro Romano Impero
Invenzione della polvere da sparo,800,Invenzione della polvere da sparo,-,-
Trattato di Verdun,843,Trattato di Verdun,Ludovico il Pio,Europa
L'astrolabio per la prima volta in Europa,1050,"L'astrolabio, antico strumento di navigazione, fu usato per la prima volta in Europa",-,-
Battaglia di Hastings,1066,"Normanni vincono, influenzano l'Inghilterra",Guglielmo il Conquistatore,Inghilterra
Inizio della costruzione della Torre di Londra,1077,Inizio della costruzione della Torre di Londra,-,-
La Chanson de Roland,1100,Epopea che racconta la battaglia di Roncisvalle,Autore anonimo,Francia
Fondazione dell'Universita' di Oxford,1117,Fondazione dell'Universita' di Oxford,-,-
Fondazione dell'Universita' di Parigi,1150,Fondazione dell'Universita' di Parigi,-,-
Scritti di Hildegard von Bingen,1150,Scritti di Hildegard von Bingen,Hildegard von Bingen,Germania
Primo uso delle bussole dagli europei,1199,Primo uso delle bussole dagli europei,-,-
Fondazione dell'Universita' di Cambridge,1209,Fondazione dell'Universita' di Cambridge,-,-
Giovanni d'Inghilterra sigilla la Magna Carta,1215,Giovanni d'Inghilterra sigilla la Magna Carta,-,-
Firma della Magna Carta,1215,Limita il potere regale e basi del diritto costituzionale,Re Giovanni d'Inghilterra,Inghilterra
Battaglia di Ain Jalut,1260,Mongoli fermati dai Mamelucchi,Saif ad-Din Qutuz,Mongolia-Mamelucchi
Nascita di Dante Alighieri,1265,"Poeta italiano, autore della Divina Commedia",Dante Alighieri,Italia
Marco Polo pubblico' Il Milione,1298,"Marco Polo pubblico' il suo itinerario della Cina, insieme a Rustichello da Pisa",-,-
Osman I fondo' l'Impero Ottomano,1299,Osman I fondo' l'Impero Ottomano,-,-
Il Canzoniere di Petrarca,1336,Raccolta di poesie che ha segnato la lirica amorosa,Francesco Petrarca,Italia
La Peste Nera devasto' l'Europa per la prima volta,1347,La Peste Nera devasto' l'Europa per la prima volta,-,-
Battaglia del Kosovo,1389,Battaglia del Kosovo,-,-
Fondazione della banca Medici a Firenze,1397,Fondazione della banca Medici a Firenze,-,-
Invenzione della stampa a olio,1420,Tecnica rivoluzionaria nell'arte europea,Jan van Eyck,Paesi Bassi
Nascita di Leonardo da Vinci,1452,Genio del Rinascimento italiano,Leonardo da Vinci,Italia
Caduta di Costantinopoli,1453,"Caduta della citta' ai Turchi, fine dell'Impero Bizantino",Mehmed II,Impero Bizantino
Conquista di Costantinopoli,1453,Fine dell'Impero Romano d'Oriente,Mehmed II,Impero Bizantino
Invenzione della stampa,1455,Gutenberg invento' la stampa a caratteri mobili,Johannes Gutenberg,Sacro Romano Impero
Stampa a caratteri mobili,1455,Stampa a caratteri mobili,Johannes Gutenberg,Germania
Stampa della Bibbia di Gutenberg,1455,Stampa della Bibbia di Gutenberg,Johannes Gutenberg,Germania
Re Luigi XI di Francia avvia il servizio postale,1461,Re Luigi XI di Francia avvia il servizio postale,-,-
Sviluppo dell'ornitottero,1485,Progetto di un dispositivo di volo meccanico ispirato agli uccelli,Leonardo da Vinci,Italia
Creazione del Codice Atlantico,1487,Raccolta di disegni e scritti di Leonardo da Vinci,Leonardo da Vinci,Italia
Caduta di Granada,1492,Fine del regno musulmano in Spagna,Boabdil,Spagna
Scoperta dell'America,1492,Scoperta dell'America,Cristoforo Colombo,Spagna
Primo modello terrestre globo,1492,Modello sferico che rappresenta la Terra o altri corpi celesti,Martin Behaim,Germania
Scoperta dell'America,1492,Cristoforo Colombo scopri' una rotta verso il Nuovo Mondo,-,-
Vasco da Gama raggiunse l'India,1498,Vasco da Gama raggiunse l'India,-,-
Scoperta del Brasile,1500,Scoperta del Brasile,Pedro Álvares Cabral,Brasile
Leonardo da Vinci inizia a dipingere la Gioconda ,1503,"Leonardo da Vinci inizio' a dipingere la Gioconda (Mona Lisa), completata dopo tre anni",-,-
Morte di Cristoforo Colombo ,1506,"Cristoforo Colombo mori' a Valladolid, Spagna",-,-
Creazione della Cappella Sistina,1512,Capolavoro di Michelangelo nella Citta' del Vaticano,Michelangelo,Italia
Riforma Protestante,1517,Lutero e le 95 tesi iniziano la Riforma Protestante,Martin Lutero,Sacro Romano Impero
Nascita di William Shakespeare,1564,"Drammaturgo inglese, figura preminente della letteratura",William Shakespeare,Inghilterra
Battaglia di Lepanto,1571,"Battaglia navale, vittoria su Ottomani",Don Giovanni d'Austria,Mediterraneo
Invenzione del microscopio,1590,Strumento che permette di vedere oggetti troppo piccoli per essere visti ad occhio nudo,Hans e Zacharias Jansen,Paesi Bassi
Termometro,1593,Termometro,Galileo Galilei,Italia
Editto di Nantes,1598,Tolleranza ufficiale per Ugonotti,Enrico IV di Francia,Francia
Pubblicazione di Don Chisciotte,1605,Opuscolo che fonda il moderno romanzo europeo,Miguel de Cervantes,Spagna
Telescopio,1608,Telescopio,Hans Lippershey,Paesi Bassi
Fondazione della citta' di Boston,1632,Fondazione della citta' di Boston,-,-
Inizio della costruzione del Taj Mahal,1632,"Maestoso mausoleo in India, capolavoro dell'arte islamica",Shah Jahan,India
Fondazione dell'Universita' di Harvard ,1636,"Fondazione dell'Universita' di Harvard a Cambridge, Massachusetts, USA",-,-
Teorema di Fermat,1637,Teorema di Fermat,Pierre de Fermat,Francia
Calcolatrice,1642,"Strumento per eseguire calcoli matematici, dalla semplice addizione alla complessa programmazione",Blaise Pascal,Francia
Trattato di Westfalia,1648,Trattato di Westfalia,Negotiati di pace,Europa
Fondazione Citta' del Capo ,1652,La Compagnia olandese delle Indie orientali fondo' la citta' di Citta' del Capo in Sudafrica,-,-
Invenzione dell'orologio a pendolo,1656,"Orologio più accurato del suo tempo, utilizzando un pendolo per misurare il tempo",Christiaan Huygens,Paesi Bassi
Il Grande Incendio di Londra,1666,Il Grande Incendio di Londra,-,-
Le Fables di Jean de La Fontaine,1668,Collezione di poesie che illustra la condotta umana,Jean de La Fontaine,Francia
Conquista cinese del Regno di Tungning e annessione Taiwan,1683,La Cina conquisto' il Regno di Tungning e annesse Taiwan,-,-
Calcolo Differenziale,1684,Fondamentale branca della matematica sviluppata per studiare tassi di variazione,"Isaac Newton, Gottfried Wilhelm Leibniz","Regno Unito, Germania"
 Philosophiae Naturalis Principia Mathematica di Newton,1687,Isaac Newton pubblica i Philosophiae Naturalis Principia Mathematica,-,-
Leggi del moto di Newton,1687,Tre leggi fondamentali del moto che hanno gettato le basi per la meccanica classica,Isaac Newton,Regno Unito
Rivoluzione Gloriosa in Inghilterra,1688,Inizio della monarchia costituzionale inglese,Guglielmo d'Orange,Inghilterra
Codice binario,1689,Sistema di rappresentazione di testi o istruzioni in forma di 0 e 1,Gottfried Wilhelm Leibniz,Germania
Fondazione della Banca d'Inghilterra,1694,Fondazione della Banca d'Inghilterra,-,-
Il più antico noto match di cricket di prima classe si tenne nel Sussex,1697,Il più antico noto match di cricket di prima classe si tenne nel Sussex,-,-
Battaglia di Poltava,1709,Decisiva vittoria russa su Svezia,Pietro il Grande,Russia
La prima legislazione sul diritto d'autore al mondo,1710,"La prima legislazione sul diritto d'autore al mondo, lo Statuto di Anna (noto anche come Copyright Act del 1709), entro' in vigore",-,-
Invenzione della macchina a vapore,1712,Invenzione cruciale che ha permesso il progresso dell'era industriale,Thomas Newcomen,Regno Unito
Trattato di Utrecht,1713,Trattato di Utrecht,Diplomatici europei,Europa
Pubblicazione di Robinson Crusoe,1719,Romanzo che inaugura la narrativa realista moderna,Daniel Defoe,Inghilterra
Pamela di Samuel Richardson,1740,Romanzo che ha influenzato la narrativa epistolare,Samuel Richardson,Inghilterra
Studio dell'elettricita' statica,1745,"Dispositivo per generare elettricita' statica, fondamentale per gli studi sull'elettricita'",Ewald Georg von Kleist,Germania
Nascita di Johann Wolfgang von Goethe,1749,"Drammaturgo tedesco, figura centrale del Romanticismo",Johann Wolfgang von Goethe,Germania
Prima edizione dell'Encyclope'die,1751,Opera fondamentale dell'Illuminismo,Denis Diderot,Francia
In Francia viene completato un'enciclopedia,1765,In Francia viene completato un'enciclopedia di ventotto volumi,-,-
I dolori del giovane Werther,1774,Romanzo epistolare che ha ispirato il movimento Sturm und Drang,Johann Wolfgang von Goethe,Germania
Rivoluzione Americana,1775,Rivoluzione Americana,George Washington,Stati Uniti d'America
Dichiarazione d'indipendenza Americana del 4 luglio,1776,"Negli USA, seconda riunione del Congresso Continentale e dichiarazione d'indipendenza il 4 luglio",-,-
Dichiarazione d'indipendenza degli USA,1776,Le 13 colonie dichiarano indipendenza dalla Gran Bretagna,Thomas Jefferson,Stati Uniti d'America
I coloni spagnoli fondarono la citta' di Los Angeles,1781,I coloni spagnoli fondarono la citta' di Los Angeles,-,-
Massachusetts dichiara illegale la schiavitù,1783,"Negli USA, basandosi sulla costituzione dello stato del 1780, la Corte Suprema Giudiziaria del Massachusetts dichiara illegale la schiavitù",-,-
Napoleone Bonaparte divenne tenente nell'artiglieria francese,1785,Napoleone Bonaparte divenne tenente nell'artiglieria francese,-,-
Gli schiavi liberati da Londra fondarono Freetown (Sierra Leone),1787,"Gli schiavi liberati da Londra fondarono Freetown (Africa Occidentale), l'odierna Sierra Leone",-,-
La Costituzione degli Stati Uniti ,1787,La Costituzione degli Stati Uniti fu scritta a Philadelphia e sottoposta agli stati per la ratifica,-,-
Inizio della Rivoluzione Francese,1789,Presa della Bastiglia e inizio della caduta della monarchia,Luigi XVI di Francia,Francia
Rivoluzione francese,1789,Rivoluzione francese,-,-
I primi matite di grafite furono usate,1795,I primi matite di grafite furono usate,-,-
Vaccino,1796,Vaccino,Edward Jenner,Regno Unito
Invasione napoleonica e partizione della Repubblica di Venezia,1797,Invasione napoleonica e partizione della Repubblica di Venezia che terminarono oltre 1000 anni di indipendenza della Serenissima,-,-
Pila di Volta,1800,Prima batteria elettrica che produceva corrente continua,Alessandro Volta,Italia
Romanticismo,1800,Romanticismo,Varie figure letterarie,Europa
Napoleone (di Francia) sconfisse l'Austria,1801,Napoleone (di Francia) sconfisse l'Austria,-,-
Haiti raggiunge l'indipendenza dalla Francia ,1804,Haiti raggiunge l'indipendenza dalla Francia ,-,-
Battaglia di Austerlitz,1805,"Nella battaglia di Austerlitz, Napoleone sconfigge esercito austro-russo",-,-
Napoleone incoronato Re d'Italia,1805,"A Milano (Italia), Napoleone viene incoronato Re d'Italia",-,-
Abdicazione di Napoleone e esilio all'Elba,1814,Abdicazione di Napoleone e esilio all'Elba,-,-
Battaglia di Waterloo,1815,Sconfitta di Napoleone e fine delle Guerre Napoleoniche,Napoleone Bonaparte,Francia
Sconfitta di Napoleone nella Battaglia di Waterloo ,1815,Fuga e successiva sconfitta di Napoleone nella Battaglia di Waterloo (a giugno) e esilio a Sant'Elena,-,-
Invenzione della macchina fotografica,1816,"Dispositivo per catturare immagini, antenata delle moderne fotocamere",Nice'phore Nie'pce,Francia
Stetoscopio,1816,Stetoscopio,Rene' Laennec,Francia
Scoperta dell'Antartide,1820,Scoperta dell'Antartide,-,-
Morte di Napoleone Bonaparte,1821,"Morte di Napoleone Bonaparte (all'isola di Sant'Elena, dove era in esilio)",-,-
Dichiarazione della Dottrina Monroe,1823,Dichiarazione della Dottrina Monroe dal Presidente USA James Monroe,-,-
Prima ferrovia pubblica al mondo,1825,Le due stazioni ferroviarie di Stockton e Darlington (la prima ferrovia pubblica al mondo) furono aperte,-,-
Fotografia,1826,Processo di cattura di immagini permanenti attraverso l'azione della luce,Joseph Nice'phore Nie'pce,Francia
Invenzione della fotografia,1826,Inizio dell'era della fotografia,Nice'phore Nie'pce,Francia
Sviluppo del motore elettrico,1831,Dispositivo che converte energia elettrica in energia meccanica,Michael Faraday,Regno Unito
Slavery Abolition Act bandi' la schiavitù in tutto l'Impero Britannico,1833,Slavery Abolition Act bandi' la schiavitù in tutto l'Impero Britannico,-,-
La vaccinazione divenne obbligatoria in Gran Bretagna,1835,La vaccinazione divenne obbligatoria in Gran Bretagna,-,-
Invenzione del telegrafo,1837,Comunicazione a distanza rivoluzionata,Samuel Morse,Stati Uniti d'America
Teorie di Charles Darwin,1838,Charles Darwin sviluppo' la teoria della selezione e specializzazione evolutiva,-,-
"Fondazione della Nuova Zelanda, con la firma del Trattato di Waitangi tra Maori e britannici",1840,"Fondazione della Nuova Zelanda, con la firma del Trattato di Waitangi tra Maori e britannici",-,-
Primo uso dell'anestesia,1842,Primo uso dell'anestesia,-,-
Carestia irlandese delle patate che porto' alla diaspora irlandese,1845,Carestia irlandese delle patate che porto' alla diaspora irlandese,-,-
Febbre dell'oro,1848,Febbre dell'oro in California,-,-
Karl Marx scrive il Manifesto Comunista,1848,Karl Marx scrive il Manifesto Comunista,-,-
La legge costituzionale della Repubblica Romana fu la prima ad abolire la pena capitale,1849,La legge costituzionale della Repubblica Romana fu la prima ad abolire la pena capitale,-,-
Realismo,1850,Movimento letterario incentrato sulla rappresentazione fedele della realta' quotidiana,Varie figure letterarie,Europa
Nascita di Vincent van Gogh,1853,"Pittore olandese, figura chiave del post-impressionismo",Vincent van Gogh,Paesi Bassi
Guerra di Crimea,1854,Guerra di Crimea (combattuta tra Russia e Turchia),-,-
Trattato di Kanagawa,1854,Trattato di Kanagawa,Commodoro Perry,Giappone
Fondazione del primo raffineria di petrolio al mondo in Romania,1856,Fondazione del primo raffineria di petrolio al mondo in Romania,-,-
Il primo pozzo petrolifero di successo fu perforato nel nord della Pennsylvania (USA),1859,Il primo pozzo petrolifero di successo fu perforato nel nord della Pennsylvania (USA),-,-
Inizio della costruzione del Canale di Suez,1859,Inizio della costruzione del Canale di Suez,-,-
Teoria dell'evoluzione,1859,Teoria dell'evoluzione,Charles Darwin,Regno Unito
Sviluppo del motore a combustione interna,1859,Motore che genera energia meccanica tramite la combustione di carburante,e'tienne Lenoir,Francia
Abolizione della servitù della gleba in Russia,1861,Abolizione della servitù della gleba in Russia,-,-
Inizio Guerra Civile Americana ,1861,Inizio' la Guerra Civile Americana tra l'Unione e i Confederati secessionisti,-,-
Unificazione dell'Italia,1861,Unificazione dell'Italia,Vittorio Emanuele II,Italia
I primi soldi di carta furono emessi negli Stati Uniti,1862,I primi soldi di carta furono emessi negli Stati Uniti,-,-
Assasinio di Abraham Lincoln,1865,"Il Presidente degli Stati Uniti, Abraham Lincoln, fu assassinato",-,-
Invenzione della macchina da scrivere,1867,Strumento meccanico o elettromeccanico per scrivere testo,Christopher Sholes,Stati Uniti
Ultima impiccagione pubblica in Inghilterra,1868,Michael Barrett fu l'ultima persona ad essere impiccata pubblicamente in Inghilterra,-,-
Creazione tavola di Mendeleev,1869,Dmitri Mendeleev creo' la tavola periodica,-,-
Il Canale di Suez collego' il Mar Mediterraneo al Mar Rosso,1869,Il Canale di Suez collego' il Mar Mediterraneo al Mar Rosso,-,-
Pubblicazione di Guerra e Pace,1869,Romanzo epico di Lev Tolstoj sulla societa' russa,Lev Tolstoj,Russia
Apertura del Royal Albert Hall a Londra,1871,Apertura del Royal Albert Hall a Londra,-,-
"Fondazione del primo Parco Nazionale, il Yellowstone",1872,"Fondazione del primo Parco Nazionale, il Yellowstone",-,-
Prima esposizione degli Impressionisti,1874,Rompere le convenzioni artistiche tradizionali,Claude Monet,Francia
Telefono,1876,Telefono,Alexander Graham Bell,Stati Uniti
Invenzione della lampadina,1879,Dispositivo che emette luce quando una corrente elettrica lo attraversa,Thomas Edison,Stati Uniti
Invenzione della penna stilografica,1884,Strumento di scrittura che utilizza inchiostro da un serbatoio interno,Lewis Waterman,Stati Uniti
Conferenza di Berlino,1884,Regolamentazione coloniale dell'Africa,Potenze coloniali,Africa
Karl Benz vende la prima automobile commerciale,1886,Karl Benz vende la prima automobile commerciale,-,-
La Birmania come regalo di compleanno alla Regina Vittoria ,1886,La Birmania fu presentata alla Regina Vittoria come regalo di compleanno,-,-
Prima storia di Sherlock Holmes,1887,"Sir Arthur Conan Doyle pubblico' la sua prima storia di Sherlock Holmes, Uno studio in rosso",-,-
Inaugurazione della Torre Eiffel a Parigi,1889,Inaugurazione della Torre Eiffel a Parigi,-,-
Poesia modernista,1890,"Movimento poetico che rompeva con le convenzioni passate, enfatizzando il simbolismo e il sperimentalismo",Varie figure poetiche,Europa e Stati Uniti
Il governo tedesco inizio' il primo schema pensionistico pubblico per anziani,1891,Il governo tedesco inizio' il primo schema pensionistico pubblico per anziani,-,-
Rayon (seta artificiale),1891,"Prima fibra artificiale, importante nello sviluppo dei tessuti sintetici",Hilaire de Chardonnet,Francia
Prima adozione ufficiale delle impronte digitali,1892,Prima adozione ufficiale delle impronte digitali,-,-
Cerniera lampo,1893,Dispositivo di chiusura utilizzato in abbigliamento e borse,Whitcomb L Judson,Stati Uniti
La Nuova Zelanda divenne il primo paese a sancire il suffragio femminile,1893,La Nuova Zelanda divenne il primo paese a sancire il suffragio femminile,-,-
Primo film commerciale,1894,Primo film commerciale rilasciato da Jean Aime' Le Roy,-,-
Prima Biennale di Venezia,1895,Importante evento internazionale dell'arte contemporanea,Artisti vari,Italia
Invenzione della radio,1895,Tecnologia per la trasmissione di suoni a distanza mediante onde radio,Guglielmo Marconi,Italia
Radiografia (Raggi X),1895,Tecnica di imaging medico che utilizza raggi X per visualizzare l'interno del corpo,Wilhelm Conrad Rontgen,Germania
Scoperta della radioattivita',1896,Fenomeno di emissione di particelle da materiali instabili,Henri Becquerel,Francia
"Rivitalizzazione dei Giochi Olimpici ad Atene, Grecia",1896,"Rivitalizzazione dei Giochi Olimpici ad Atene, Grecia",-,-
Aspirina,1897,L'aspirina,Felix Hoffmann,Germania
Contratto Gran Bretagna-Cina su Hong Kong,1898,La Gran Bretagna ottenne un contratto di locazione di 99 anni su Hong Kong dalla Cina,-,-
Hawaii diventa territorio ufficiale degli USA,1900,Hawaii diventa territorio ufficiale degli USA,-,-
Teoria dei quanti,1900,Teoria dei quanti,Max Planck,Germania
Prima cerimonia del Premio Nobel,1901,"A Stoccolma (Svezia), si tiene la prima cerimonia del Premio Nobel",-,-
Theodore Roosevelt divenne il più giovane Presidente degli Stati Uniti,1901,Theodore Roosevelt divenne il più giovane Presidente degli Stati Uniti,-,-
Vetro di sicurezza,1903,Vetro di sicurezza,e'douard Be'ne'dictus,Francia
Guerra russo-giapponese,1904,Guerra russo-giapponese,-,-
E=mc² ,1905,Formula che mostra la relazione tra massa ed energia,Albert Einstein,Germania
Teoria della relativita',1905,Teoria della relativita',Albert Einstein,Germania
Teoria della relativita',1905,Albert Einstein formulo' la teoria della relativita',-,-
Prima trasmissione radio commerciale,1908,Prima trasmissione radio commerciale,-,-
Struttura atomica,1911,Struttura atomica,Ernest Rutherford,Nuova Zelanda
La Rivoluzione Xinhai in Cina rovescio' la Dinastia Qing,1911,La Rivoluzione Xinhai in Cina rovescio' la Dinastia Qing,-,-
Fine dell'Impero Cinese e istituzione della Repubblica di Cina,1912,Fine dell'Impero Cinese e istituzione della Repubblica di Cina,-,-
Inizio della Prima Guerra Balcanica,1912,Inizio della Prima Guerra Balcanica,-,-
Woodrow Wilson eletto come 28 Presidente degli Stati Uniti,1912,Woodrow Wilson eletto come 28 Presidente degli Stati Uniti,-,-
Frigorifero,1913,Frigorifero,Fred W Wolf,Stati Uniti
Seconda Guerra Balcanica e Trattato di Bucarest,1913,Seconda Guerra Balcanica e Trattato di Bucarest,-,-
Apertura del Canale di Panama,1914,Apertura del Canale di Panama,-,-
Assassinio dell'Arciduca Franz Ferdinand d'Austria a Sarajevo,1914,"Gavrilo Princip assassino' l'Arciduca Franz Ferdinand d'Austria a Sarajevo, innescando la Prima Guerra Mondiale",-,-
Inizio della Prima Guerra Mondiale,1914,Assassinio di Ferdinando scatena la Grande Guerra,Francesco Ferdinando d'Austria,Austria-Ungheria
Teoria della Relativita' Generale di Einstein,1915,"Teoria della gravitazione proposta da Einstein, fondamentale per la fisica moderna",Albert Einstein,Germania
Primo uso del gas come arma chimica,1915,Primo uso del gas velenoso nella Battaglia di Neuve Chapelle e Seconda Battaglia di Ypres,-,-
Implementazione del sistema di ora legale,1916,Implementazione del sistema di ora legale,-,-
Teoria delle Onde Gravitazionali,1916,Teoria delle Onde Gravitazionali,Albert Einstein,Germania
Fondazione del Dadaismo,1916,Movimento artistico che ha rifiutato le convenzioni,Tristan Tzara,Svizzera
Gli Stati Uniti si unirono agli Alleati per la Prima Guerra Mondiale,1917,Gli Stati Uniti si unirono agli Alleati (paesi) per gli ultimi 17 mesi della Prima Guerra Mondiale,-,-
Dichiarazione Balfour,1917,Sostegno britannico per una casa ebraica,Arthur James Balfour,Palestina
Rivoluzione Russa,1917,Rivoluzione Russa,Vladimir Lenin,Russia
La Rivoluzione Russa pose fine all'Impero Russo,1917,La Rivoluzione Russa pose fine all'Impero Russo,-,-
Fine della Prima Guerra Mondiale,1918,Fine della Prima Guerra Mondiale,-,-
"Polonia, Ucraina e Bielorussia dichiararono la loro indipendenza dalla Russia",1918,"Polonia, Ucraina e Bielorussia dichiararono la loro indipendenza dalla Russia",-,-
Fondazione della Societa' delle Nazioni a Parigi,1919,Fondazione della Societa' delle Nazioni a Parigi,-,-
Il Trattato di Versailles ridisegno' i confini europei,1919,Il Trattato di Versailles ridisegno' i confini europei,-,-
