"Descrizione Breve","Anno di Scoperta","Descrizione Lunga","Nome Inventore","Paese di Origine"
"Il Canzoniere di Petrarca","1336","Raccolta di poesie che ha segnato la lirica amorosa.","Francesco Petrarca","Italia"
"Invenzione della stampa a olio","1420","Tecnica rivoluzionaria nell'arte europea.","Jan van Eyck","Paesi Bassi"
"Stampa a caratteri mobili","1455","Tecnologia di stampa che usa caratteri mobili, rivoluzionaria per la diffusione della conoscenza.","Johannes Gutenberg","Germania"
"Invenzione della stampa","1455","Gutenberg inventò la stampa a caratteri mobili.","Johannes Gutenberg","Sacro Romano Impero"
"Nascita di Leonardo da Vinci","1452","Leonardo incarna il genio del Rinascimento.","Leonardo da Vinci","Italia"
"Nascita di Leonardo da Vinci","1452","Genio del Rinascimento italiano.","Leonardo da Vinci","Italia"
"Caduta di Costantinopoli","1453","Caduta della città ai Turchi, fine dell'Impero Bizantino.","Mehmed II","Impero Bizantino"
"Conquista di Costantinopoli","1453","Fine dell'Impero Romano d'Oriente.","Mehmed II","Impero Bizantino"
"Stampa della Bibbia di Gutenberg","1455","Primo libro stampato con caratteri mobili.","Johannes Gutenberg","Germania"
"Ornitottero","1485","Progetto di un dispositivo di volo meccanico ispirato agli uccelli.","Leonardo da Vinci","Italia"
"Creazione del Codice Atlantico","1487","Raccolta di disegni e scritti di Leonardo da Vinci.","Leonardo da Vinci","Italia"
"Globo","1492","Modello sferico che rappresenta la Terra o altri corpi celesti.","Martin Behaim","Germania"
"Scoperta dell'America","1492","Colombo raggiunge le Americhe, via alla colonizzazione.","Cristoforo Colombo","Spagna"
"Caduta di Granada","1492","Fine del regno musulmano in Spagna.","Boabdil","Spagna"
"Scoperta del Brasile","1500","Portoghesi raggiungono l'attuale Brasile.","Pedro Álvares Cabral","Brasile"
"Creazione della Cappella Sistina","1512","Capolavoro di Michelangelo nella Città del Vaticano.","Michelangelo","Italia"
"Riforma Protestante","1517","Lutero e le 95 tesi iniziano la Riforma Protestante.","Martin Lutero","Sacro Romano Impero"
"Nascita di William Shakespeare","1564","Drammaturgo inglese, figura preminente della letteratura.","William Shakespeare","Inghilterra"
"Battaglia di Lepanto","1571","Importante vittoria navale contro l'Impero Ottomano.","Don Giovanni d'Austria","Santa Lega"
"Battaglia di Lepanto","1571","Battaglia navale, vittoria su Ottomani.","Don Giovanni d'Austria","Mediterraneo"
"Microscopio","1590","Strumento che permette di vedere oggetti troppo piccoli per essere visti ad occhio nudo.","Hans e Zacharias Jansen","Paesi Bassi"
"Microscopio","1590","Strumento che permette di vedere oggetti troppo piccoli per essere visti ad occhio nudo.","Hans e Zacharias Jansen","Paesi Bassi"
"Termometro","1593","Strumento per misurare la temperatura.","Galileo Galilei","Italia"
"Editto di Nantes","1598","Editto che garantì diritti civili agli Ugonotti in Francia.","Enrico IV","Francia"
"Editto di Nantes","1598","Tolleranza ufficiale per Ugonotti.","Enrico IV di Francia","Francia"
"Elettricità","1600","Fenomeno fisico associato alla presenza e al flusso di carica elettrica.","William Gilbert","Regno Unito"
"Pubblicazione di Don Chisciotte","1605","Opuscolo che fonda il moderno romanzo europeo.","Miguel de Cervantes","Spagna"
"Telescopio","1608","Strumento ottico che ingrandisce gli oggetti distanti, soprattutto nel campo astronomico.","Hans Lippershey","Paesi Bassi"
"Telescopio","1608","Strumento ottico che aiuta ad osservare oggetti distanti nello spazio.","Hans Lippershey","Paesi Bassi"
"Telescopio","1608","Strumento ottico per osservare oggetti distanti, in particolare nel cielo.","Hans Lippershey","Paesi Bassi"
"Inizio della costruzione del Taj Mahal","1632","Maestoso mausoleo in India, capolavoro dell'arte islamica.","Shah Jahan","India"
"Teorema di Fermat","1637","Enunciato nella teoria dei numeri, famoso per la sua dimostrazione tardiva.","Pierre de Fermat","Francia"
"Calcolatrice","1642","Macchina per eseguire calcoli matematici, antenata del computer moderno.","Blaise Pascal","Francia"
"Calcolatrice","1642","Strumento per eseguire calcoli matematici, dalla semplice addizione alla complessa programmazione.","Blaise Pascal","Francia"
"Trattato di Westfalia","1648","Fine della guerra dei Trent'anni.","Negotiati di pace","Europa"
"Orologio a pendolo","1656","Orologio più accurato del suo tempo, utilizzando un pendolo per misurare il tempo.","Christiaan Huygens","Paesi Bassi"
"Le Fables di Jean de La Fontaine","1668","Collezione di poesie che illustra la condotta umana.","Jean de La Fontaine","Francia"
"Calcolo Differenziale","1684","Fondamentale branca della matematica sviluppata per studiare tassi di variazione.","Isaac Newton, Gottfried Wilhelm Leibniz","Regno Unito, Germania"
"Leggi di Newton","1687","Tre leggi fondamentali del moto che hanno gettato le basi per la meccanica classica.","Isaac Newton","Regno Unito"
"Rivoluzione Gloriosa","1688","Non violenta rivoluzione che limitò i poteri della monarchia inglese.","Guglielmo III","Inghilterra"
"Revoluzione Gloriosa","1688","Inizio della monarchia costituzionale inglese.","Guglielmo d'Orange","Inghilterra"
"Codice binario","1689","Sistema di rappresentazione di testi o istruzioni in forma di 0 e 1.","Gottfried Wilhelm Leibniz","Germania"
"Battaglia di Poltava","1709","Decisiva vittoria russa su Svezia.","Pietro il Grande","Russia"
"Macchina a vapore","1712","Invenzione cruciale che ha permesso il progresso dell'era industriale.","Thomas Newcomen","Regno Unito"
"Trattato di Utrecht","1713","Fine della guerra di successione spagnola.","Diplomatici europei","Europa"
"Pubblicazione di Robinson Crusoe","1719","Romanzo che inaugura la narrativa realista moderna.","Daniel Defoe","Inghilterra"
"Pamela di Samuel Richardson","1740","Romanzo che ha influenzato la narrativa epistolare.","Samuel Richardson","Inghilterra"
"Pilastro di Elettricità Statica","1745","Dispositivo per generare elettricità statica, fondamentale per gli studi sull'elettricità.","Ewald Georg von Kleist","Germania"
"Nascita di Johann Wolfgang von Goethe","1749","Drammaturgo tedesco, figura centrale del Romanticismo.","Johann Wolfgang von Goethe","Germania"
"Prima edizione dell'Encyclopédie","1751","Opera fondamentale dell'Illuminismo.","Denis Diderot","Francia"
"I dolori del giovane Werther","1774","Romanzo epistolare che ha ispirato il movimento Sturm und Drang.","Johann Wolfgang von Goethe","Germania"
"Rivoluzione Americana","1775","Inizio della formazione degli USA.","George Washington","Stati Uniti d'America"
"Dichiarazione di indipendenza degli USA","1776","Le 13 colonie dichiarano indipendenza dalla Gran Bretagna.","Thomas Jefferson","Stati Uniti d'America"
"Inizio della Rivoluzione Francese","1789","Presa della Bastiglia e inizio della caduta della monarchia.","Luigi XVI di Francia","Francia"
"Vaccino","1796","Il vaccino è una preparazione biologica che fornisce immunità acquisita attiva contro una malattia specifica.","Edward Jenner","Regno Unito"
"Pila di Volta","1800","Prima batteria elettrica che produceva corrente continua.","Alessandro Volta","Italia"
"Pila elettrica","1800","Primo dispositivo capace di generare energia elettrica in modo continuo.","Alessandro Volta","Italia"
"Romanticismo","1800","Movimento artistico, letterario e culturale che enfatizzava l'emozione e l'individualità.","Varie figure letterarie","Europa"
"Battaglia di Waterloo","1815","Sconfitta di Napoleone e fine delle Guerre Napoleoniche.","Napoleone Bonaparte","Francia"
"Macchina fotografica","1816","Dispositivo per catturare immagini, antenata delle moderne fotocamere.","Nicéphore Niépce","Francia"
"Stetoscopio","1816","Strumento medico per ascoltare i suoni interni del corpo.","René Laennec","Francia"
"Fotografia","1826","Tecnica di cattura di immagini fisse tramite l'esposizione alla luce.","Joseph Nicéphore Niépce","Francia"
"Fotografia","1826","Processo di cattura di immagini permanenti attraverso l'azione della luce.","Joseph Nicéphore Niépce","Francia"
"Invenzione della fotografia","1826","Inizio dell'era della fotografia.","Nicéphore Niépce","Francia"
"Motore elettrico","1831","Dispositivo che converte energia elettrica in energia meccanica.","Michael Faraday","Regno Unito"
"Motore elettrico","1832","Dispositivo che converte energia elettrica in energia meccanica.","William Sturgeon","Regno Unito"
"Invenzione del telegrafo","1837","Comunicazione a distanza rivoluzionata.","Samuel Morse","Stati Uniti d'America"
"Realismo","1850","Movimento letterario incentrato sulla rappresentazione fedele della realtà quotidiana.","Varie figure letterarie","Europa"
"Nascita di Vincent van Gogh","1853","Pittore olandese, figura chiave del post-impressionismo.","Vincent van Gogh","Paesi Bassi"
"Trattato di Kanagawa","1854","Giappone apre porte al commercio occidentale.","Commodoro Perry","Giappone"
"Teoria dell'Evoluzione","1859","Teoria scientifica che descrive l'evoluzione biologica delle specie.","Charles Darwin","Regno Unito"
"Motore a combustione interna","1859","Motore che brucia carburante con un ossidante per creare forza motrice.","Étienne Lenoir","Belgio"
"Teoria dell'evoluzione","1859","Teoria scientifica che spiega l'origine e lo sviluppo delle specie viventi.","Charles Darwin","Regno Unito"
"Motore a combustione interna","1859","Motore che genera energia meccanica tramite la combustione di carburante.","Étienne Lenoir","Francia"
"Unificazione dell'Italia","1861","Vittorio Emanuele II diventa primo re dell'Italia unificata.","Vittorio Emanuele II","Italia"
"Macchina da scrivere","1867","Strumento meccanico o elettromeccanico per scrivere testo.","Christopher Sholes","Stati Uniti"
"Macchina da scrivere","1867","Strumento meccanico o elettromeccanico per scrivere testi in modo efficiente.","Christopher Latham Sholes","Stati Uniti"
"Pubblicazione di Guerra e Pace","1869","Romanzo epico di Lev Tolstoj sulla società russa.","Lev Tolstoj","Russia"
"Prima esposizione degli Impressionisti","1874","Rompere le convenzioni artistiche tradizionali.","Claude Monet","Francia"
"Telefono","1876","Dispositivo per la comunicazione vocale a distanza.","Alexander Graham Bell","Stati Uniti"
"Lampadina elettrica","1879","Dispositivo che emette luce quando un filamento viene riscaldato dall'elettricità.","Thomas Edison","Stati Uniti"
"Lampadina","1879","Invenzione che ha reso possibile l'illuminazione elettrica pratica e sicura.","Thomas Edison","Stati Uniti"
"Lampadina","1879","Dispositivo che emette luce quando una corrente elettrica lo attraversa.","Thomas Edison","Stati Uniti"
"Penna stilografica","1884","Strumento di scrittura che utilizza inchiostro da un serbatoio interno.","Lewis Waterman","Stati Uniti"
"Conferenza di Berlino","1884","Regolamentazione coloniale dell'Africa.","Potenze coloniali","Africa"
"Poesia Modernista","1890","Movimento poetico che rompeva con le convenzioni passate, enfatizzando il simbolismo e il sperimentalismo.","Varie figure poetiche","Europa e Stati Uniti"
"Rayon (seta artificiale)","1891","Fibra artificiale prodotta dall'uomo, usata in tessuti.","Louis Marie Hilaire Bernigaud","Francia"
"Rayon","1891","Prima fibra artificiale, importante nello sviluppo dei tessuti sintetici.","Hilaire de Chardonnet","Francia"
"Cerniera lampo","1893","Dispositivo di chiusura utilizzato in abbigliamento e borse.","Whitcomb L. Judson","Stati Uniti"
"Radio","1895","Tecnologia per la trasmissione e la ricezione di segnali attraverso onde radio.","Guglielmo Marconi","Italia"
"Radiografia (Raggi X)","1895","Tecnica di imaging medico che utilizza raggi X per visualizzare l'interno del corpo.","Wilhelm Conrad Röntgen","Germania"
"Radio","1895","Invenzione che ha permesso la trasmissione di suoni a distanza usando onde radio.","Guglielmo Marconi","Italia"
"Radio","1895","Tecnologia per la trasmissione di suoni a distanza mediante onde radio.","Guglielmo Marconi","Italia"
"Prima Biennale di Venezia","1895","Importante evento internazionale dell'arte contemporanea.","Artisti vari","Italia"
"Radioattività","1896","Fenomeno fisico in cui alcuni nuclei atomici emettono radiazioni.","Henri Becquerel","Francia"
"Radioattività","1896","Fenomeno di emissione di particelle da materiali instabili.","Henri Becquerel","Francia"
"Aspirina","1897","Farmaco antinfiammatorio e antidolorifico.","Felix Hoffmann","Germania"
"Aspirina","1897","Uno dei primi e più ampiamente usati farmaci antinfiammatori.","Felix Hoffmann","Germania"
"Teoria dei quanti","1900","Base della meccanica quantistica, descrive la natura a livelli subatomici.","Max Planck","Germania"
"Vetro di sicurezza","1903","Tipo di vetro che, in caso di rottura, non produce frammenti taglienti.","Édouard Bénédictus","Francia"
"E=mc² (Equivalenza massa-energia)","1905","Formula che mostra la relazione tra massa ed energia.","Albert Einstein","Germania"
"Teoria della relatività","1905","Teoria rivoluzionaria di Einstein che ha modificato concetti di tempo e spazio.","Albert Einstein","Germania"
"Teoria della relatività","1905","Teoria fisica che descrive la relazione tra spazio e tempo.","Albert Einstein","Germania"
"Struttura atomica","1911","Modello di Rutherford che ha rivoluzionato la comprensione della materia.","Ernest Rutherford","Nuova Zelanda"
"Frigorifero","1913","Apparecchio elettrico per mantenere cibi e bevande freschi.","Fred W. Wolf","Stati Uniti"
"Inizio della Prima Guerra Mondiale","1914","Assassinio di Ferdinando scatena la Grande Guerra.","Francesco Ferdinando d'Austria","Austria-Ungheria"
"Relatività Generale","1915","Teoria della gravitazione proposta da Einstein, fondamentale per la fisica moderna.","Albert Einstein","Germania"
"Teoria delle Onde Gravitazionali","1916","Predizione teorica dell'esistenza di onde gravitazionali.","Albert Einstein","Germania"
"Fondazione del Dadaismo","1916","Movimento artistico che ha rifiutato le convenzioni.","Tristan Tzara","Svizzera"
"Rivoluzione Russa","1917","Rivoluzione porta al primo governo comunista al mondo.","Vladimir Lenin","Russia"
"Dichiarazione Balfour","1917","Sostegno britannico per una casa ebraica.","Arthur James Balfour","Palestina"
"Fondazione della Bauhaus","1919","Scuola di design che ha influenzato l'architettura moderna.","Walter Gropius","Germania"
"Cerotto","1920","Fasciatura adesiva per piccole ferite.","Earle Dickson","Stati Uniti"
"Fantascienza","1920","Genere letterario basato su impatti ipotetici di scienza e tecnologia sul futuro.","Varie figure letterarie","Internazionale"
"Movimento artistico Harlem Renaissance","1920","Rivoluzione culturale e artistica afroamericana.","Artisti vari","Stati Uniti"
"Insulina","1921","Ormone utilizzato per trattare il diabete, essenziale per la regolazione della glicemia.","Frederick Banting, Charles Best","Canada"
"Robot","1921","Macchina automatizzata che può eseguire compiti.","Karel Čapek","Repubblica Ceca"
"Insulina","1921","Ormone essenziale per il trattamento del diabete.","Frederick Banting","Canada"
"Scoperta della tomba di Tutankhamon","1922","Scoperte archeologiche che hanno influenzato l'arte egizia.","Howard Carter","Egitto"
"La montagna incantata di Thomas Mann","1924","Romanzo filosofico che riflette sulle crisi del tempo.","Thomas Mann","Germania"
"Pubblicazione di Il grande Gatsby","1925","Romanzo simbolo del sogno americano e della sua corruzione.","F. Scott Fitzgerald","Stati Uniti"
"Televisione","1927","Tecnologia per la trasmissione di immagini in movimento e suono.","Philo Farnsworth","Stati Uniti"
"Teoria del Big Bang","1927","Modello cosmologico che descrive l'espansione dell'universo.","Georges Lemaître","Belgio"
"Penicillina","1928","Primo antibiotico scoperto, ha rivoluzionato la medicina salvando milioni di vite.","Alexander Fleming","Regno Unito"
"Antibiotico Penicillina","1928","Il primo antibiotico scoperto, rivoluzionario nella lotta contro le infezioni batteriche.","Alexander Fleming","Regno Unito"
"Antibiotici","1928","Sostanze usate per prevenire e trattare infezioni batteriche.","Alexander Fleming","Regno Unito"
"Antibiotici","1928","Sostanze usate per prevenire e trattare infezioni batteriche.","Alexander Fleming","Regno Unito"
"Motore a reazione","1930","Motore che espelle getti ad alta velocità per generare spinta.","Frank Whittle, Hans von Ohain","Regno Unito, Germania"
"Radioastronomia","1931","Studio degli oggetti celesti tramite le loro emissioni radio.","Karl Jansky","Stati Uniti"
"Chitarra elettrica","1931","Strumento musicale che utilizza pickup per convertire la vibrazione delle corde in segnali elettrici.","George Beauchamp","Stati Uniti"
"Teorema di Gödel","1931","Enunciati matematici che dimostrano i limiti della dimostrabilità.","Kurt Gödel","Austria"
"Radar","1935","Tecnologia per rilevare la posizione e il movimento di oggetti tramite onde radio.","Robert Watson-Watt","Regno Unito"
"Realizzazione del Guernica di Picasso","1937","Opera di Pablo Picasso, simbolo della guerra civile spagnola.","Pablo Picasso","Spagna"
"Velivolo a propulsione jet","1939","Aeromobile spinto da motori a getto.","Heinkel He 178","Germania"
"Magnetron","1940","Tubo che produce microonde, utilizzato in radar e forni a microonde.","John Randall, Harry Boot","Regno Unito"
"Velcro","1941","Sistema di chiusura adesivo.","George de Mestral","Svizzera"
"Teoria dei giochi","1944","Ramo della matematica applicata che studia situazioni strategiche.","John von Neumann, Oskar Morgenstern","Ungheria, Austria"
"Conferenza di Bretton Woods","1944","Sistema finanziario post-seconda guerra mondiale.","Leader mondiali","Internazionale"
"Bombardamenti atomici di Hiroshima e Nagasaki","1945","Bombe atomiche segnano la fine della Seconda Guerra Mondiale.","Harry S. Truman","Giappone"
"Computer","1946","Macchine elettroniche programmabili per elaborare dati e eseguire calcoli complessi.","John Presper Eckert, John W. Mauchly","Stati Uniti"
"Transistor","1947","Componente elettronico fondamentale per amplificare e controllare correnti elettriche.","John Bardeen, Walter Brattain, William Shockley","Stati Uniti"
"Transistor","1947","Componente elettronico semiconduttore fondamentale per l'elettronica moderna.","John Bardeen, Walter Brattain, William Shockley","Stati Uniti"
"Indipendenza dell'India","1947","Fine del dominio britannico sull'India.","Mahatma Gandhi","India"
"Velcro","1948","Sistema di chiusura a strappo.","George de Mestral","Svizzera"
"Teoria dell'Informazione","1948","Studio matematico della trasmissione, elaborazione e utilizzo delle informazioni.","Claude Shannon","Stati Uniti"
"Orologio atomico","1949","Orologio che misura il tempo con grande precisione tramite frequenze atomiche.","National Bureau of Standards (NBS)","Stati Uniti"
"DNA doppia elica","1953","Scoperta della struttura a doppia elica del DNA, fondamentale per la genetica.","James Watson, Francis Crick","Regno Unito"
"Scatola nera (registrazione dati volo)","1953","Dispositivo per registrare i dati di volo e le conversazioni nella cabina di pilotaggio.","David Warren","Australia"
"Fibra Ottica","1956","Tecnologia per trasmettere dati sotto forma di impulsi di luce.","Narinder Singh Kapany","Stati Uniti"
"Sistema Operativo","1956","Software che gestisce le risorse hardware di un computer e fornisce servizi ai programmi software.","GM-NAA I/O","Stati Uniti"
"Pacemaker","1958","Dispositivo che regola il battito cardiaco.","Wilson Greatbatch","Stati Uniti"
"Circuito Integrato","1958","Microcircuiti elettronici su un piccolo pezzo di materiale semiconduttore.","Jack Kilby, Robert Noyce","Stati Uniti"
"Laser","1960","Dispositivo che emette luce attraverso un processo di emissione stimolata.","Theodore H. Maiman","Stati Uniti"
"Teoria delle Stringhe","1960","Modello teorico che ipotizza componenti fondamentali dell'universo come stringhe vibranti.","Gabriele Veneziano","Italia"
"Internet","1960","Rete globale di computer che ha rivoluzionato la comunicazione e l'accesso alle informazioni.","Vint Cerf, Bob Kahn","Stati Uniti"
"Laser","1960","Dispositivo che emette luce attraverso un processo di amplificazione ottica.","Theodore Maiman","Stati Uniti"
"Postmodernismo","1960","Movimento letterario e culturale caratterizzato da un atteggiamento di sfida verso le convenzioni.","Varie figure letterarie","Internazionale"
"Creazione dell'Arte Concettuale","1960","Movimento artistico che privilegia l'idea sull'oggetto.","Artisti vari","Internazionale"
"Inizio dell'arte digitale","1960","Nuove forme espressive tramite la tecnologia.","Artisti vari","Internazionale"
"Teoria del Caos","1963","Studio dei sistemi dinamici sensibili alle condizioni iniziali.","Edward Lorenz","Stati Uniti"
"Primo videoarte di Nam June Paik","1963","Pioniere dell'arte dei media elettronici.","Nam June Paik","Corea del Sud"
"Word Processor","1964","Software per la creazione, modifica e stampa di documenti testuali.","IBM","Stati Uniti"
"Fibra Ottica","1966","Tecnologia per la trasmissione di dati a grande velocità attraverso fili di vetro o plastica.","Charles K. Kao","Regno Unito"
"Trapianto di cuore","1967","Procedura medica in cui un cuore malfunzionante viene sostituito.","Christiaan Barnard","Sud Africa"
"Internet","1969","Rete globale di computer per lo scambio di dati e comunicazioni.","ARPANET (Progetto di ricerca)","Stati Uniti"
"Internet","1969","Rete globale di computer che ha rivoluzionato la comunicazione e l'accesso alle informazioni.","ARPANET","Stati Uniti"
"Microprocessore","1971","Circuito integrato centrale nei computer moderni.","Ted Hoff, Federico Faggin, Stan Mazor","Stati Uniti"
"Microprocessore","1971","Cuore di un computer, esegue istruzioni di un programma di computer.","Intel","Stati Uniti"
"Linguaggio di programmazione C","1972","Linguaggio di programmazione influente, utilizzato ampiamente ancora oggi.","Dennis Ritchie","Stati Uniti"
"GPS","1973","Sistema di navigazione satellitare per determinare la posizione geografica.","Dipartimento della Difesa degli Stati Uniti","Stati Uniti"
"GPS","1973","Sistema di navigazione satellitare che fornisce posizione e orario in qualsiasi condizione atmosferica.","Dipartimento della Difesa degli Stati Uniti","Stati Uniti"
"Macchina Fotografica Digitale","1975","Dispositivo per catturare immagini in forma digitale.","Steven Sasson","Stati Uniti"
"Editoria Elettronica","1980","Tecnologia per la pubblicazione di contenuti attraverso mezzi elettronici.","Varie aziende","Internazionale"
"CD-ROM","1982","Supporto di memorizzazione ottico utilizzato per archiviare dati in formato digitale.","Sony, Philips","Giappone, Paesi Bassi"
"Chip RFID","1983","Tecnologia per l'identificazione automatica di oggetti, animali o persone.","Charles Walton","Stati Uniti"
"Telescopio spaziale Hubble","1990","Telescopio orbitante che fornisce immagini dettagliate dello spazio.","NASA","Stati Uniti"
"Linguaggio di programmazione Python","1991","Linguaggio di programmazione ad alto livello, versatile e ampiamente utilizzato.","Guido van Rossum","Paesi Bassi"
"Sistema Operativo Linux","1991","Sistema operativo open-source basato sul kernel Linux.","Linus Torvalds","Finlandia"
"HTML","1993","Linguaggio di markup standard per la creazione di pagine web.","Tim Berners-Lee","Regno Unito"
"Linguaggio di programmazione JavaScript","1995","Linguaggio di scripting lato client per pagine web interattive.","Brendan Eich","Stati Uniti"
"","","","",""
"","","","",""
