Descrizione Breve	Anno di Scoperta	Descrizione Lunga	Nome Inventore	Paese
Battaglia di Waterloo	1815	Napoleon escaped; however, he was finally defeated at the Battle of Waterloo (in June) and exiled to Saint Helena Island		
Napoleone mette fine alla Repubblica di Venezia	1797	Napoleon's invasion and partition of the Republic of Venice ended over 1,000 years of independence of the Serene Republic		
Creazione della NASA, di US Federal Aviation Authority e di Campaign for Nuclear Disarmament (CND)	1958	NASA, the US Federal Aviation Authority and Campaign for Nuclear Disarmament (CND) established		
Nascita di Dante Alighieri	1265	Poeta italiano, autore della Divina Commedia	Dante Alighieri	Italia
Nascita di Johann Wolfgang von Goethe	1749	Drammaturgo tedesco, figura centrale del Romanticismo	Johann Wolfgang von Goethe	Germania
Nascita di Leonardo da Vinci	1452	Genio del Rinascimento italiano	Leonardo da Vinci	Italia
Nascita di Vincent van Gogh	1853	Pittore olandese, figura chiave del post-impressionismo	Vincent van Gogh	Paesi Bassi
Nascita di William Shakespeare	1564	Drammaturgo inglese, figura preminente della letteratura.	William Shakespeare	Inghilterra
Invasione nazista della Polonia	1939	Nazi invasion of Poland that triggered the beginning of World War II		
Invasione nazista di Francia, Olanda, Danimarca e Norvegia	1940	Nazis invaded France, the Netherlands, Denmark and Norway		
Primo suffragio per le donne	1893	New Zealand became the first country to enact women's suffrage		
Creazione della Nuova Zelanda	1840	New Zealand is established, as the Treaty of Waitangi is signed between the Maori and British		
Prima edizione documentata dei Giochi Olimpici	-776	Olympic Games first recorded		
Ripristino dei Giochi Olimpici, Greece	1896	Olympic Games revived in Athens, Greece		
Aperura del Channel Tunnel	1994	Opening of the Channel Tunnel		
Origine di Saka Era in India	78	Origin of Saka Era in India		
Progetto Ornitottero	1485	Progetto di un dispositivo di volo meccanico ispirato agli uccelli	Leonardo da Vinci	Italia
Orologio a pendolo	1656	Orologio più accurato del suo tempo, utilizzando un pendolo per misurare il tempo	Christiaan Huygens	Paesi Bassi
Orologio atomico	1949	Orologio che misura il tempo con grande precisione tramite frequenze atomiche	National Bureau of Standards (NBS)	Stati Uniti
Assasinio di Osama bin Laden, Muammar Gaddafi, and Kim Jong-Il	2011	Osama bin Laden, Muammar Gaddafi, and Kim Jong-Il were killed		
Fondazione Impero Ottomano	1299	Osman I established the Ottoman Empire		
Introduzione del Pacemaker	1958	Dispositivo che regola il battito cardiaco.	Wilson Greatbatch	Stati Uniti
Pamela di Samuel Richardson	1740	Romanzo che ha influenzato la narrativa epistolare	Samuel Richardson	Inghilterra
Apertura Canale di Panama	1914	Panama Canal opened		
Standardizzazione grammatica Sanskrit	-500	Panini standardized the Sanskrit grammar and its morphology in the text Ashtadhyayi		
Invenzione della Carta	-200	Paper is invented in China		
Scoperta della Penicillina	1928	Primo antibiotico scoperto, ha rivoluzionato la medicina salvando milioni di vite	Alexander Fleming	Regno Unito
Penna stilografica	1884	Strumento di scrittura che utilizza inchiostro da un serbatoio interno	Lewis Waterman	Stati Uniti
Persia diventa Iran	1935	Persia became Iran		
Filippo II assume Aristotle per fare da tutor a suo figlio Alessandro	-337	Philip II had created a strong and unified nation in Macedonia He hired Aristotle (the Philosopher) to tutor his son, Alexander		
Assasinio di Filippo II e proclamazione di Alessandro come re	-336	Philip II was assassinated and Alexander became king		
Pila elettrica	1800	Primo dispositivo capace di generare energia elettrica in modo continuo	Alessandro Volta	Italia
Pilastro di Elettricità Statica	1745	Dispositivo per generare elettricità statica, fondamentale per gli studi sull'elettricità	Ewald Georg von Kleist	Germania
Uso dello zero	-500	Pingala learned the uses of zero and binary numeral system		
Poesia Modernista	1890	Movimento poetico che rompeva con le convenzioni passate, enfatizzando il simbolismo e il sperimentalismo	Varie figure poetiche	Europa e Stati Uniti
Polonia, Ucraina e Bielorussia dichiarano l'indipendenza dalla Russia	1918	Poland, Ukraine, and Belarus declared their independence from Russia		
Postmodernismo	1960	Movimento letterario e culturale caratterizzato da un atteggiamento di sfida verso le convenzioni	Varie figure letterarie	Internazionale
Potsdam Conference	1945	Potsdam Conference (World War II) divided Europe into Western and Soviet blocs		
Assasinio di Abraham Lincoln	1865	President of the United States, Abraham Lincoln was assassinated		
Prima Biennale di Venezia	1895	Importante evento internazionale dell'arte contemporanea	Artisti vari	Italia
Prima edizione dell'Encyclopédie	1751	Opera fondamentale dell'Illuminismo	Denis Diderot	Francia
Prima esposizione degli Impressionisti	1874	Rompere le convenzioni artistiche tradizionali	Claude Monet	Francia
Primo videoarte di Nam June Paik	1963	Pioniere dell'arte dei media elettronici	Nam June Paik	Corea del Sud
NAscita di Maometto	570	Prophet Mohammed (the founder of Muslim religion) born		
Pubblicazione di Don Chisciotte	1605	Opuscolo che fonda il moderno romanzo europeo	Miguel de Cervantes	Spagna
Pubblicazione di Guerra e Pace	1869	Romanzo epico di Lev Tolstoj sulla società russa	Lev Tolstoj	Russia
Pubblicazione di Il grande Gatsby	1925	Romanzo simbolo del sogno americano e della sua corruzione.	F. Scott Fitzgerald	Stati Uniti
Pubblicazione di Robinson Crusoe	1719	Romanzo che inaugura la narrativa realista moderna	Daniel Defoe	Inghilterra
Studi di Pitagora	-550	Pythagoras (Greek scholar) studied the movements of celestial bodies and mathematics		
Qin Shi Huang unifica la Cina	-221	Qin Shi Huang unified China and the beginning of Imperial rule (in China)		
Invenzione del Radar	1935	Tecnologia per rilevare la posizione e il movimento di oggetti tramite onde radio	Robert Watson-Watt	Regno Unito
Invenzione della Radio	1895	Tecnologia per la trasmissione di suoni a distanza mediante onde radio	Guglielmo Marconi	Italia
Radioastronomia	1931	Studio degli oggetti celesti tramite le loro emissioni radio	Karl Jansky	Stati Uniti
Radioattività	1896	Fenomeno di emissione di particelle da materiali instabili	Henri Becquerel	Francia
Radiografia (Raggi X)	1895	Tecnica di imaging medica che utilizza raggi X per visualizzare l'interno del corpo	Wilhelm Conrad Röntgen	Germania
Rayon (seta artificiale)	1891	Fibra artificiale prodotta dall'uomo, usata in tessuti	Louis Marie Hilaire Bernigaud	Francia
Realismo	1850	Movimento letterario incentrato sulla rappresentazione fedele della realtà quotidiana	Varie figure letterarie	Europa
Realizzazione del Guernica di Picasso	1937	Opera di Pablo Picasso, simbolo della guerra civile spagnola	Pablo Picasso	Spagna
Relatività Generale	1915	Teoria della gravitazione proposta da Einstein, fondamentale per la fisica moderna	Albert Einstein	Germania
Revoluzione Gloriosa	1688	Inizio della monarchia costituzionale inglese	Guglielmo d'Orange	Inghilterra
Riforma Protestante	1517	Lutero e le 95 tesi iniziano la Riforma Protestante	Martin Lutero	Sacro Romano Impero
Nascita dell'impero persiano	-653	Rise of Persian Empire		
Rivoluzione Americana	1775	Inizio della formazione degli USA	George Washington	Stati Uniti d'America
Rivoluzione Gloriosa	1688	Non violenta rivoluzione che limitò i poteri della monarchia inglese	Guglielmo III	Inghilterra
Rivoluzione Russa	1917	Rivoluzione porta al primo governo comunista al mondo	Vladimir Lenin	Russia
Introduzione del termine Robot	1921	Macchina automatizzata che può eseguire compiti	Karel Capek	Repubblica Ceca
Prima abolizione della pena capitale	1849	Roman Republic's constitutional law became the first to abolish capital punishment		
Romanticismo	1800	Movimento artistico, letterario e culturale che enfatizzava l'emozione e l'individualità	Varie figure letterarie	Europa
Apertura della Royal Albert Hall	1871	Royal Albert Hall opened in London		
La Russia abolisce la servitù della gleba	1861	Russia abolished serfdom		
Guerra Russo-Giapponese	1904	Russian Japanese War		
Fine dell'Impero Russo	1917	Russian Revolution ended the Russian Empire		
Massacro di San Valentino	1929	Saint Valentine's Day Massacre		
Invenzione della scatola nera (registrazione dati volo)	1953	Dispositivo per registrare i dati di volo e le conversazioni nella cabina di pilotaggio	David Warren	Australia
Scoperta del Brasile	1500	Portoghesi raggiungono l'attuale Brasile	Pedro Álvares Cabral	Brasile
Scoperta dell'America	1492	Colombo raggiunge le Americhe, via alla colonizzazione	Cristoforo Colombo	Spagna
Scoperta della tomba di Tutankhamon	1922	Scoperte archeologiche che hanno influenzato l'arte egizia	Howard Carter	Egitto
Scritti di Hildegard von Bingen	1150	Compositrice e mistica, autrice di testi visionari	Hildegard von Bingen	Germania
Seconda Guerra Balcanica	1913	Second Balkan War and Treaty of Bucharest		
Inizio dell'agricoltura	-9500	Settled farming began		
Guerra Sino-Indiana	1962	Sino-Indian War		
Pubblicazione del primo racconto su Sherlock Holmes, ‘A Study in Scarlet’	1887	Sir Arthur Conan Doyle published his first Sherlock Holmes story, ‘A Study in Scarlet’		
Invenzione del World Wide Web (WWW)	1990	Sir Tim Berners-Lee invented the World Wide Web (WWW)		
Sismografo	132	Strumento per rilevare e registrare terremoti.	Zhang Heng	Cina
Sistema Operativo	1956	Software che gestisce le risorse hardware di un computer e fornisce servizi ai programmi software	GM-NAA I/O	Stati Uniti
Sistema Operativo Linux	1991	Sistema operativo open-source basato sul kernel Linux	Linus Torvalds	Finlandia
Sixteen Maha Janapadas in India	-600	Sixteen Maha Janapadas emerged in India		
Atto di abolizione della schiavitù per l'impero Britannico	1833	Slavery Abolition Act banned slavery throughout the British Empire		
Annessione degli stati Baltici all'Unione Sovietica	1940	Soviet Union annexes the Baltic states		
Morte di Stalin	1953	Stalin died		
Stampa della Bibbia di Gutenberg	1455	Primo libro stampato con caratteri mobili	Johannes Gutenberg	Germania
Statuto di Westminster per la creazione del British Commonwealth of Nations	1931	Statute of Westminster created the British Commonwealth of Nations		
Invenzione dello Stetoscopio	1816	Strumento medico per ascoltare i suoni interni del corpo	René Laennec	Francia
Crollo mondiale dello stock market	2008	Stock markets plunge across the world		
Struttura atomica	1911	Modello di Rutherford che ha rivoluzionato la comprensione della materia	Ernest Rutherford	Nuova Zelanda
Inizio costruzione del Canale di Suez	1859	Suez Canal construction start		
Sui Dynasty in Cina	581	Sui Dynasty came in China		
Civiltà Sumera	-5000	Sumerian civilization evolved between the rivers Euphrates and Tigris Later it became popular as Mesopotamia (present day Iraq)		
Conferenza di Tehran	1943	Tehran Conference participated by Franklin Roosevelt, Winston Churchill, and Joseph Stalin; all agreed to launch Operation Overlord		
Telefono	1876	Dispositivo per la comunicazione vocale a distanza	Alexander Graham Bell	Stati Uniti
Telescopio	1608	Strumento ottico per osservare oggetti distanti, in particolare nel cielo	Hans Lippershey	Paesi Bassi
Telescopio spaziale Hubble	1990	Telescopio orbitante che fornisce immagini dettagliate dello spazio	NASA	Stati Uniti
Televisione	1927	Tecnologia per la trasmissione di immagini in movimento e suono	Philo Farnsworth	Stati Uniti
Teorema di Fermat	1637	Enunciato nella teoria dei numeri, famoso per la sua dimostrazione tardiva	Pierre de Fermat	Francia
Teorema di Gödel	1931	Enunciati matematici che dimostrano i limiti della dimostrabilità	Kurt Gödel	Austria
Teorema di Pitagora	-530	Fondamentale relazione matematica tra i lati di un triangolo rettangolo	Pitagora	Grecia
Teoria dei giochi	1944	Ramo della matematica applicata che studia situazioni strategiche	John von Neumann, Oskar Morgenstern	Ungheria, Austria
Teoria dei quanti	1900	Base della meccanica quantistica, descrive la natura a livelli subatomici	Max Planck	Germania
Teoria del Big Bang	1927	Modello cosmologico che descrive l'espansione dell'universo	Georges Lemaître	Belgio
Teoria del Caos	1963	Studio dei sistemi dinamici sensibili alle condizioni iniziali	Edward Lorenz	Stati Uniti
Teoria dell'evoluzione	1859	Teoria scientifica che spiega l'origine e lo sviluppo delle specie viventi	Charles Darwin	Regno Unito
Teoria dell'Informazione	1948	Studio matematico della trasmissione, elaborazione e utilizzo delle informazioni	Claude Shannon	Stati Uniti
Teoria della relatività	1905	Teoria fisica che descrive la relazione tra spazio e tempo	Albert Einstein	Germania
Teoria delle Onde Gravitazionali	1916	Predizione teorica dell'esistenza di onde gravitazionali	Albert Einstein	Germania
Teoria delle Stringhe	1960	Modello teorico che ipotizza componenti fondamentali dell'universo come stringhe vibranti	Gabriele Veneziano	Italia
Termometro	1593	Strumento per misurare la temperatura	Galileo Galilei	Italia
Le armate di Tito distruggono Gerusalemme	70	The armies of Titus destructed Jerusalem		
Creazione della Bank of England	1694	The Bank of England is established		
Royal Charter in UK	1927	The BBC was granted a Royal Charter in the United Kingdom		
Morte Nera in Europa	1347	The Black Death withered Europe for the first (of many times) In the first year, an estimated 20 to 40% of the population was thought to have perished		
Abolizione del Califfato ottomano	1924	The Caliphate was abolished by Kemal Atatürk		
Fondazione di Boston	1632	The city of Boston is founded		
Prima matita a grafite	1795	The first graphite pencils were used		
Creazione di Yellowstone National Park	1872	The first National Park ie Yellowstone National Park, is established		
Primo denaro in carta negli USA	1862	The first paper money was issued in the United States		
Primo pozzo di petrolio in northern Pennsylvania	1859	The first successful oil well was drilled in northern Pennsylvania (USA)		
Prima distruzione del tempio di Gerusalemme	-586	The First Temple in Jerusalem (Solomon's Temple) was destroyed by the Babylonians		
Primo website online	1991	The first Website has been put online and made available to the public		
Primo schema pensionistico tedesco	1891	The German government initiated the first public old-age pension scheme		
Battaglia di Adrianople	378	The Germanic tribes defeated Roman army in the battle of Adrianople		
The Great Fire di Londra	1666	The Great Fire of London		
The Great Pyramid of Cholula constructed	-300	The Great Pyramid of Cholula constructed in Mexico		
Introduzione dell'ora legale	1916	The implementation of daylight saving time system		
Irish Potato Famine	1845	The Irish Potato Famine that lead to the Irish diaspora		
Tentato assassinio di King George VI	1937	The Irish Republican Army attempted to assassinate King George VI of the UK		
Maggior disastro petrolifico USA	2010	The largest oil spill in US history occurred in the Gulf of Mexico		
Creazione della banca dei Medici a Firenze	1397	The Medici bank was established in Florence		
Il partito Nazista diventa il più grande partito della Germania	1932	The Nazi party became the largest single party in the German parliament		
La dinastia Qin inizia la costruzione della Grande Muraglia cinese	-221	The Qin Dynasty began the construction of the Great Wall of China		
Pubblicazione del Corano	660	The Quran, the holy book, was published for the first time		
Fondazione di Freetown	1787	The slaves freed from London established Freetown (West Africa) ie present-day Sierra Leone		
Fondazione di Los Angeles	1781	The Spanish settlers founded the city of Los Angeles		
Apertura del Canale di Suez	1869	The Suez Canal route opened that linking the Mediterranean Sea to the Red Sea		
Abolizione del Sultanato Ottomano	1922	The Turkish Grand National Assembly abolished Ottoman Sultanate		
Apertura prime stazioni ferroviarie	1825	The two railway station at Stockton and Darlington (the first public railway in the world) was opened		
Creazione United Kingdom	1927	The United Kingdom of Great Britain and Ireland officially became the United Kingdom of Great Britain and Northern Ireland		
Costituzione degli Stati Uniti	1787	The United States Constitution is written in Philadelphia and submitted to the states for ratification		
USA entrano nella Prima Guerra Mondiale	1917	The United States joined the Allies (countries) for the last 17 months of World War I		
Fondazione dell'Università of Cambridge	1209	The University of Cambridge is established		
Fondazione dell'Università di Oxford	1117	The University of Oxford is established		
Fondazione dell'Università di Parigi	1150	The University of Paris is established		
Creazione dell'FBI	1924	The US Federal Bureau of Investigation established under J Edgar Hoover		
Prima legislazione sul copyright	1710	The world's first copyright legislation, Britain's Statute of Anne (also known as Copyright Act 1709), took effect		
Costruzione del grattacielo più alto del mondo, Burj Khalifa (in Dubai), has been built	2009	The world's tallest skyscraper, Burj Khalifa (in Dubai), has been built		
Theodore Roosevelt Presidente USA	1901	Theodore Roosevelt become the youngest President of the United States		
Prima pubblicazione Time Magazine	1923	Time Magazine was published first time		
Trasferimento della sovranità di Hong Kong alla Cina	1997	Transfer of sovereignty of Hong Kong from UK to China		
Transistor	1947	Componente elettronico fondamentale per amplificare e controllare correnti elettriche	John Bardeen, Walter Brattain, William Shockley	Stati Uniti
Trapianto di cuore	1967	Procedura medica in cui un cuore malfunzionante viene sostituito	Christiaan Barnard	Sud Africa
Trattato di Kanagawa	1854	Giappone apre porte al commercio occidentale	Commodoro Perry	Giappone
Trattato di Utrecht	1713	Fine della guerra di successione spagnola	Diplomatici europei	Europa
Trattato di Verdun	843	Divisione dell'impero carolingio	Ludovico il Pio	Europa
Trattato di Westfalia	1648	Fine della guerra dei Trent'anni	Negotiati di pace	Europa
Trattato di San Francisco	1951	Treaty of San Francisco terminated the Occupation of Japan and formally concluded hostilities between Japan and the US		
Trattato di Versailles redrew European borders	1919	Treaty of Versailles redrew European borders		
Unificazione dell'Italia	1861	Vittorio Emanuele II diventa primo re dell'Italia unificata	Vittorio Emanuele II	Italia
Fondazione delle Nazioni Unite	1945	United Nations founded		
United States e Cuba riaprono le relazioni diplomatiche	2015	United States and Cuba resumed diplomatic relations		
Vaccinazione diventa obbligatoria	1835	Vaccination became mandatory in Britain		
Vaccino	1796	Il vaccino è una preparazione biologica che fornisce immunità acquisita attiva contro una malattia specifica	Edward Jenner	Regno Unito
Vasco da Gama arriva in India	1498	Vasco da Gama arrived India		
Città del Vaticano diventa Stato Sovrano	1929	Vatican City has given the status of a sovereign State		
Invenzione del Velcro	1948	Sistema di chiusura a strappo	George de Mestral	Svizzera
Velivolo a propulsione jet	1939	Aeromobile spinto da motori a getto	Heinkel He 178	Germania
Divorzio di velluto	1993	Velvet divorce between Czech Republic and Slovakia		
Vetro di sicurezza	1903	Tipo di vetro che, in caso di rottura, non produce frammenti taglienti	Édouard Bénédictus	Francia
Inizio della Great Depression	1929	Wall Street crash of 1929 and the beginning of the Great Depression		
Patto di Varsavia	1955	Warsaw Pact signed		
Invenzione dell'orologio ad acqua	-1400	Water clock is invented in Egypt		
Fondazione di Wikipedia	2001	Wikipedia founded		
Winston Churchill diventa Prime Minister UK	1940	Winston Churchill became the Prime Minister of the United Kingdom		
Woodrow Wilson diventa 28th Presidente USA	1912	Woodrow Wilson elected as the 28th President of the United States		
Word Processor	1964	Software per la creazione, modifica e stampa di documenti testuali	IBM	Stati Uniti
Prima raffineria di petrolio	1856	World's first oil refinery founded in Romania		
Rivoluzione Xinhai in Cina	1911	Xinhai Revolution in China overthrows the Qing Dynasty
