Descrizione Breve,Anno di Scoperta,Descrizione Lunga,Nome Inventore,Paese
"Fondazione della Nuova Zelanda, con la firma del Trattato di Waitangi tra Maori e britannici",1840,"Fondazione della Nuova Zelanda, con la firma del Trattato di Waitangi tra Maori e britannici",,
Fondazione della Repubblica Popolare Cinese,1949,Fondazione della Repubblica Popolare Cinese sotto la guida di Mao Zedong,,
Fondazione della Societa' delle Nazioni a Parigi,1919,Fondazione della Societa' delle Nazioni a Parigi,,
Fondazione delle Nazioni Unite,1945,Fondazione delle Nazioni Unite,,
Fondazione di Baghdad,762,Baghdad diventa capitale islamica,Califfo al-Mansur,Califfato Abbaside
Fondazione di Cartagine,-814,Fondazione della citta' fenicia di Cartagine,Dido,Cartagine
Fondazione di Google,1998,Fondazione di Google da parte di Larry Page e Sergey Brin,,
Fondazione di Roma,-753,La citta' di Roma fu fondata da Romolo,,
Fondazione di Wikipedia,2001,Fondazione di Wikipedia,,
Fondazione Universita' Imperiale della Cina,-124,Fu fondata l'Universita' Imperiale della Cina,,
Fotografia,1826,Processo di cattura di immagini permanenti attraverso l'azione della luce,Joseph Nice'phore Nie'pce,Francia
Frigorifero,1913,Frigorifero,Fred W Wolf,Stati Uniti
Gesu Cristo crocifisso,29,Gesu Cristo crocifisso,,
Giovanni d'Inghilterra sigilla la Magna Carta,1215,Giovanni d'Inghilterra sigilla la Magna Carta,,
Gli eserciti di Tito distrussero Gerusalemme,70,Gli eserciti di Tito distrussero Gerusalemme,,
Gli schiavi liberati da Londra fondarono Freetown (Sierra Leone),1787,"Gli schiavi liberati da Londra fondarono Freetown (Africa Occidentale), l'odierna Sierra Leone",,
Gli Stati Uniti e Cuba ripresero le relazioni diplomatiche,2015,Gli Stati Uniti e Cuba ripresero le relazioni diplomatiche,,
Gli Stati Uniti si unirono agli Alleati per la Prima Guerra Mondiale,1917,Gli Stati Uniti si unirono agli Alleati (paesi) per gli ultimi 17 mesi della Prima Guerra Mondiale,,
GPS,1973,Sistema di navigazione satellitare che fornisce posizione e orario in qualsiasi condizione atmosferica,Dipartimento della Difesa degli Stati Uniti,Stati Uniti
Grande Piramide di Cholula costruita,-300,Grande Piramide di Cholula costruita,,
Grande Piramide di Giza,-2560,Grande Piramide di Giza,,
Guerra di Crimea,1854,Guerra di Crimea (combattuta tra Russia e Turchia),,
Guerra russo-giapponese,1904,Guerra russo-giapponese,,
Guerra sino-indiana,1962,Guerra sino-indiana,,
Guerre greco-persiane,-499,Guerre greco-persiane,,
Haiti raggiunge l'indipendenza dalla Francia ,1804,Haiti raggiunge l'indipendenza dalla Francia ,,
Hawaii diventa territorio ufficiale degli USA,1900,Hawaii diventa territorio ufficiale degli USA,,
Hitler Cancelliere della Germania,1933,Adolf Hitler divenne Cancelliere della Germania,,
Hitler Fuhrer del Partito Nazista,1921,"Adolf Hitler divenne il Fuhrer (guida, leader) del Partito Nazista",,
Hitler invade l'Unione Sovietica,1941,Hitler invade l'Unione Sovietica,,
HTML,1993,Linguaggio di markup standard per la creazione di pagine web,Tim Berners-Lee,Regno Unito
I coloni spagnoli fondarono la citta' di Los Angeles,1781,I coloni spagnoli fondarono la citta' di Los Angeles,,
I dolori del giovane Werther,1774,Romanzo epistolare che ha ispirato il movimento Sturm und Drang,Johann Wolfgang von Goethe,Germania
I primi matite di grafite furono usate,1795,I primi matite di grafite furono usate,,
I primi soldi di carta furono emessi negli Stati Uniti,1862,I primi soldi di carta furono emessi negli Stati Uniti,,
Il Canale di Suez collego' il Mar Mediterraneo al Mar Rosso,1869,Il Canale di Suez collego' il Mar Mediterraneo al Mar Rosso,,
Il Canzoniere di Petrarca,1336,Raccolta di poesie che ha segnato la lirica amorosa,Francesco Petrarca,Italia
"Il Corano, il libro sacro, fu pubblicato per la prima volta",660,"Il Corano, il libro sacro, fu pubblicato per la prima volta",,
Il Federal Bureau of Investigation degli USA fu istituito sotto J Edgar Hoover,1924,Il Federal Bureau of Investigation degli USA fu istituito sotto J Edgar Hoover,,
Il Giappone invade la Cina,1937,Il Giappone invade la Cina,,
Il Giappone invade la Manciuria (Cina),1931,Il Giappone invade la Manciuria (Cina) e la occupa fino alla fine della Seconda Guerra Mondiale,,
Il governo tedesco inizio' il primo schema pensionistico pubblico per anziani,1891,Il governo tedesco inizio' il primo schema pensionistico pubblico per anziani,,
Il Grande Incendio di Londra,1666,Il Grande Incendio di Londra,,
"Il grattacielo piu alto del mondo, il Burj Khalifa (a Dubai), e' stato costruito",2009,"Il grattacielo piu alto del mondo, il Burj Khalifa (a Dubai), e' stato costruito",,
Il partito nazista divenne il piu grande partito singolo nel parlamento tedesco,1932,Il partito nazista divenne il piu grande partito singolo nel parlamento tedesco,,
Il piu antico noto match di cricket di prima classe si tenne nel Sussex,1697,Il piu antico noto match di cricket di prima classe si tenne nel Sussex,,
Il piu grande sversamento di petrolio nella storia,2010,Il piu grande sversamento di petrolio nella storia degli Stati Uniti si verifico' nel Golfo del Messico,,
Il primo pozzo petrolifero di successo fu perforato nel nord della Pennsylvania (USA),1859,Il primo pozzo petrolifero di successo fu perforato nel nord della Pennsylvania (USA),,
Il primo sito web e' stato messo online e reso disponibile al pubblico,1991,Il primo sito web e' stato messo online e reso disponibile al pubblico,,
Il Primo Tempio di Gerusalemme (Tempio di Salomone) fu distrutto dai Babilonesi,-586,Il Primo Tempio di Gerusalemme (Tempio di Salomone) fu distrutto dai Babilonesi,,
Il Regno Unito di Gran Bretagna e Irlanda ,1927,Il Regno Unito di Gran Bretagna e Irlanda divenne ufficialmente il Regno Unito di Gran Bretagna e Irlanda del Nord,,
Il Trattato di Maastricht creo' l'Unione Europea,1992,Il Trattato di Maastricht creo' l'Unione Europea,,
Il Trattato di Versailles ridisegno' i confini europei,1919,Il Trattato di Versailles ridisegno' i confini europei,,
Implementazione del sistema di ora legale,1916,Implementazione del sistema di ora legale,,
In Cina inizia la dinastia Zhou,-1027,In Cina inizia la dinastia Zhou,,
In Francia viene completato un'enciclopedia,1765,In Francia viene completato un'enciclopedia di ventotto volumi,,
Inaugurazione della Torre Eiffel a Parigi,1889,Inaugurazione della Torre Eiffel a Parigi,,
Indipendenza dell'India,1947,Fine del dominio britannico sull'India,Mahatma Gandhi,India
Inizio dei Tre Regni in Cina,220,"Dopo la caduta della dinastia Han, inizio' il periodo dei Tre Regni in Cina",,
Inizio dell'agricoltura stanziale,-9500,Inizio dell'agricoltura stanziale,,
Inizio dell'apartheid in Sudafrica,1948,Inizio dell'apartheid in Sudafrica,,
Inizio dell'arte digitale,1960,Nuove forme espressive tramite la tecnologia,Artisti vari,Internazionale
Inizio dell'era spaziale con il lancio dello Sputnik I,1957,Inizio dell'era spaziale con il lancio dello Sputnik I,,
Inizio della costruzione del Canale di Suez,1859,Inizio della costruzione del Canale di Suez,,
Inizio della costruzione del Taj Mahal,1632,"Maestoso mausoleo in India, capolavoro dell'arte islamica",Shah Jahan,India
Inizio della costruzione della Torre di Londra,1077,Inizio della costruzione della Torre di Londra,,
Inizio della Guerra del Golfo,1990,Inizio della Guerra del Golfo,,
Inizio della Guerra in Iraq ,2003,Inizio della Guerra in Iraq che ha scatenato proteste in tutto il mondo,,
Inizio della Prima Guerra Balcanica,1912,Inizio della Prima Guerra Balcanica,,
Inizio della Prima Guerra Mondiale,1914,Assassinio di Ferdinando scatena la Grande Guerra,Francesco Ferdinando d'Austria,Austria-Ungheria
Inizio della Rivoluzione Francese,1789,Presa della Bastiglia e inizio della caduta della monarchia,Luigi XVI di Francia,Francia
Inizio della Rivoluzione Verde,1943,Inizio della Rivoluzione Verde,,
Inizio Guerra Civile Americana ,1861,Inizio' la Guerra Civile Americana tra l'Unione e i Confederati secessionisti,,
Inizio inastia Han in Cina,-206,"Dopo la morte di Qin Shi Huang, fu stabilita la dinastia Han in Cina",,
Insulina,1921,"Ormone utilizzato per trattare il diabete, essenziale per la regolazione della glicemia","Frederick Banting, Charles Best",Canada
Insurrezione cecena ,1944,Insurrezione cecena terminata con la deportazione dell'intera popolazione cecena,,
Internet,1960,Rete globale di computer che ha rivoluzionato la comunicazione e l'accesso alle informazioni,"Vint Cerf, Bob Kahn",Stati Uniti
Introduzione del primo computer elettronico,1944,"Introduzione del primo computer elettronico operativo, Colossus",,
Introduzione dell'Euro,1999,Introduzione dell'Euro,,
Introduzione della democrazia ad Atene,-508,Introduzione della democrazia ad Atene,,
Invasione napoleonica e partizione della Repubblica di Venezia,1797,Invasione napoleonica e partizione della Repubblica di Venezia che terminarono oltre 1000 anni di indipendenza della Serenissima,,
Invasione nazista della Polonia ,1939,Invasione nazista della Polonia che innesco' l'inizio della Seconda Guerra Mondiale,,
"Invasione nazista di Francia, Paesi Bassi, Danimarca e Norvegia",1940,"Invasione nazista di Francia, Paesi Bassi, Danimarca e Norvegia",,
Invenzione del microscopio,1590,Strumento che permette di vedere oggetti troppo piccoli per essere visti ad occhio nudo,Hans e Zacharias Jansen,Paesi Bassi
Invenzione del pacemaker,1958,Dispositivo che regola il battito cardiaco,Wilson Greatbatch,Stati Uniti
"Invenzione del primo calendario di 365 giorni, 12 mesi e 30 giorni",-5000,"Invenzione del primo calendario di 365 giorni, 12 mesi e 30 giorni",,
